all_data =

      Wavelength   Max Power

         1475        0.266
         1476        0.371
         1477         0.45
         1478        0.549
         1479        0.669
         1480        0.777
         1481        0.895
         1482        0.997
         1483        1.083
         1484        1.232
         1485        1.331
         1486        1.413
         1487        1.493
         1488        1.627
         1489        1.731
         1490        1.832
         1491        1.913
         1492        2.027
         1493        2.117
         1494        2.224
         1495        2.305
         1496        2.417
         1497        2.469
         1498        2.565
         1499        2.704
         1500         2.77
         1501        2.841
         1502        2.933
         1503        3.025
         1504        3.154
         1505        3.189
         1506        3.328
         1507        3.407
         1508        3.493
         1509        3.542
         1510        3.671
         1511        3.751
         1512        3.807
         1513        3.944
         1514        3.989
         1515        4.076
         1516        4.203
         1517        4.282
         1518        4.318
         1519        4.416
         1520        4.518
         1521         4.57
         1522        4.658
         1523        4.722
         1524        4.794
         1525        4.848
         1526        4.886
         1527        4.993
         1528        5.019
         1529        5.081
         1530        5.118
         1531        5.208
         1532        5.255
         1533        5.329
         1534        5.399
         1535        5.413
         1536        5.515
         1537        5.507
         1538        5.559
         1539        5.632
         1540        5.665
         1541        5.672
         1542        5.713
         1543        5.759
         1544        5.799
         1545        5.796
         1546        5.843
         1547        5.866
         1548        5.875
         1549        5.894
         1550        5.884
         1551        5.924
         1552        5.901
         1553        5.926
         1554         5.94
         1555        5.887
         1556         5.91
         1557        5.885
         1558        5.896
         1559        5.954
         1560        5.932
         1561        5.915
         1562        5.876
         1563        5.837
         1564        5.833
         1565        5.769
         1566        5.687
         1567        5.658
         1568        5.588
         1569        5.512
         1570        5.343
         1571        5.203
         1572        4.967
         1573        4.777
         1574        4.625
         1575        4.402
         1576        4.172
         1577        3.963
         1578         3.75
         1579        3.483
         1580        3.244
         1581        3.005
         1582        2.751
         1583        2.531
         1584        2.215
         1585        1.942
         1586        1.689
         1587        1.408
         1588         1.12
         1589         0.83
         1590        0.511
